Result, First, Second
-1, 128, 179
1, 129, 79
-1, 9, 176
-1, 191, 139
1, 40, 99
1, 143, 79
1, 117, 168
1, 130, 138
1, 18, 76
-1, 180, 58
1, 104, 65
-1, 161, 2
-1, 161, 43
0, 189, 129
-1, 0, 61
0, 170, 34
1, 16, 58
-1, 144, 153
-1, 9, 57
1, 11, 59
1, 109, 114
0, 192, 153
-1, 187, 172
0, 151, 77
0, 7, 120
0, 20, 1
-1, 175, 193
1, 154, 172
0, 95, 29
1, 179, 29
-1, 116, 140
0, 32, 87
0, 165, 47
-1, 91, 60
0, 192, 17
1, 133, 99
0, 61, 140
0, 127, 66
1, 60, 8
0, 69, 108
-1, 161, 130
1, 114, 57
-1, 187, 94
-1, 42, 101
0, 85, 80
1, 89, 169
-1, 128, 142
1, 30, 184
1, 39, 187
1, 1, 100
1, 114, 111
-1, 161, 101
-1, 81, 25
-1, 177, 59
1, 98, 66
1, 39, 136
1, 67, 40
-1, 151, 143
1, 86, 35
1, 175, 139
-1, 45, 105
-1, 139, 141
-1, 76, 180
-1, 72, 174
-1, 163, 29
1, 38, 8
0, 145, 122
1, 29, 122
-1, 103, 159
0, 57, 131
-1, 40, 13
1, 63, 192
0, 106, 53
0, 128, 160
-1, 141, 188
-1, 59, 74
1, 83, 194
-1, 169, 121
0, 144, 94
0, 14, 118
1, 18, 10
1, 113, 128
0, 139, 163
-1, 157, 190
-1, 147, 71
1, 112, 97
0, 140, 182
-1, 42, 19
-1, 109, 170
-1, 139, 99
1, 3, 168
-1, 89, 143
1, 42, 145
1, 113, 63
1, 93, 194
1, 75, 123
1, 169, 152
1, 127, 31
1, 2, 9
-1, 4, 162
-1, 101, 2
-1, 34, 100
-1, 133, 10
1, 135, 49
-1, 9, 77
-1, 95, 29
1, 142, 33
-1, 64, 96
1, 139, 3
1, 178, 157
-1, 24, 178
-1, 93, 69
-1, 137, 100
-1, 99, 137
0, 112, 56
0, 161, 26
0, 100, 193
1, 32, 42
-1, 21, 127
-1, 128, 94
0, 117, 159
-1, 79, 16
-1, 36, 126
1, 94, 143
1, 20, 25
-1, 164, 101
-1, 36, 169
1, 186, 188
-1, 80, 57
-1, 121, 104
-1, 68, 182
1, 84, 49
1, 74, 17
-1, 195, 166
1, 140, 158
-1, 47, 23
-1, 32, 195
1, 77, 136
1, 14, 88
-1, 157, 10
1, 106, 143
1, 151, 120
1, 189, 162
1, 99, 73
1, 91, 3
1, 83, 183
1, 120, 104
-1, 73, 4
1, 31, 38
1, 141, 156
1, 74, 51
-1, 43, 98
-1, 86, 114
-1, 69, 123
-1, 110, 68
-1, 143, 114
1, 38, 113
-1, 110, 32
-1, 111, 130
1, 34, 114
1, 58, 2
-1, 170, 165
-1, 79, 76
-1, 28, 105
-1, 124, 4
-1, 66, 105
1, 27, 36
-1, 8, 181
-1, 41, 138
1, 170, 70
1, 146, 163
1, 52, 36
1, 48, 129
1, 12, 22
1, 94, 79
1, 128, 24
-1, 71, 129
1, 48, 179
-1, 7, 87
1, 184, 127
-1, 179, 43
1, 20, 161
1, 25, 136
-1, 112, 152
1, 82, 183
-1, 83, 119
0, 26, 22
1, 78, 85
-1, 77, 161
1, 83, 13
0, 22, 181
1, 72, 120
1, 10, 61
0, 189, 61
0, 8, 191
1, 53, 168
1, 127, 32
0, 114, 73
1, 80, 176
1, 137, 12
-1, 21, 22
-1, 195, 1
1, 191, 31
1, 194, 131
-1, 123, 122
-1, 145, 90
1, 166, 195
0, 0, 84
-1, 82, 0
1, 30, 122
1, 106, 35
1, 10, 111
0, 123, 58
1, 79, 80
1, 151, 180
-1, 74, 104
-1, 54, 192
1, 153, 110
0, 116, 148
-1, 57, 87
1, 94, 70
-1, 165, 51
1, 76, 87
-1, 36, 65
1, 42, 98
-1, 20, 121
-1, 160, 194
1, 174, 77
1, 164, 64
-1, 31, 16
1, 123, 48
-1, 43, 130
1, 101, 132
1, 100, 34
-1, 35, 119
-1, 27, 113
0, 13, 51
-1, 189, 149
-1, 184, 35
1, 58, 76
1, 170, 72
-1, 116, 162
1, 175, 16
1, 182, 116
-1, 160, 20
1, 155, 122
-1, 20, 141
1, 56, 19
1, 122, 163
-1, 154, 161
1, 61, 144
1, 20, 110
1, 3, 160
1, 29, 58
-1, 32, 91
1, 119, 126
-1, 94, 128
1, 54, 46
-1, 31, 50
-1, 144, 42
1, 70, 49
-1, 82, 148
-1, 35, 77
-1, 143, 95
1, 54, 55
-1, 77, 178
1, 173, 137
-1, 43, 167
1, 65, 43
-1, 98, 157
1, 108, 49
1, 195, 40
1, 80, 32
0, 100, 52
-1, 63, 38
-1, 3, 116
1, 106, 135
-1, 174, 94
-1, 58, 18
-1, 154, 168
-1, 121, 143
1, 12, 99
-1, 39, 154
-1, 55, 170
-1, 91, 113
1, 70, 111
-1, 32, 185
-1, 106, 56
-1, 138, 194
1, 85, 39
-1, 138, 93
1, 27, 161
1, 165, 193
-1, 52, 46
1, 77, 43
-1, 115, 172
-1, 106, 87
-1, 137, 40
-1, 38, 172
1, 152, 194
1, 109, 17
1, 27, 78
-1, 152, 156
-1, 191, 140
-1, 38, 170
1, 62, 52
-1, 129, 178
-1, 88, 3
1, 112, 48
0, 135, 187
-1, 72, 60
-1, 146, 169
1, 132, 163
-1, 1, 47
-1, 77, 188
1, 132, 168
-1, 138, 101
1, 177, 125
1, 69, 150
-1, 157, 65
-1, 97, 44
1, 30, 112
-1, 112, 62
1, 21, 149
-1, 184, 61
1, 136, 1
-1, 188, 179
-1, 23, 183
-1, 174, 86
1, 16, 71
1, 38, 90
-1, 154, 22
1, 100, 110
-1, 35, 163
1, 27, 59
1, 152, 139
1, 87, 178
-1, 140, 5
0, 16, 7
1, 55, 42
0, 36, 134
1, 154, 37
0, 132, 105
0, 140, 120
1, 30, 135
-1, 106, 54
1, 188, 127
1, 24, 123
0, 71, 159
-1, 118, 55
1, 40, 85
0, 170, 34
1, 52, 82
1, 30, 21
1, 55, 68
-1, 51, 13
1, 191, 63
1, 23, 163
-1, 109, 175
-1, 100, 77
-1, 146, 119
0, 157, 54
1, 76, 6
1, 165, 2
-1, 6, 20
0, 140, 122
1, 54, 67
1, 119, 108
0, 44, 125
0, 84, 172
-1, 50, 140
-1, 117, 70
1, 156, 59
-1, 179, 28
1, 22, 36
-1, 170, 41
-1, 184, 121
-1, 58, 116
1, 24, 72
-1, 173, 143
-1, 110, 138
-1, 36, 192
1, 19, 116
-1, 95, 41
0, 93, 156
-1, 122, 167
0, 45, 162
-1, 123, 176
1, 85, 112
0, 140, 110
1, 164, 104
0, 124, 15
1, 130, 192
1, 125, 88
0, 69, 14
-1, 140, 25
-1, 70, 181
1, 83, 63
-1, 23, 21
0, 110, 87
-1, 100, 172
1, 62, 52
1, 114, 86
0, 52, 82
1, 98, 125
-1, 116, 2
1, 97, 128
1, 134, 184
-1, 93, 35
-1, 104, 90
1, 190, 7
1, 158, 130
0, 177, 53
-1, 155, 50
-1, 23, 70
-1, 189, 105
-1, 57, 30
1, 133, 122
-1, 185, 91
-1, 84, 5
-1, 161, 71
-1, 42, 166
-1, 110, 138
-1, 185, 141
1, 2, 141
1, 121, 155
1, 173, 155
1, 89, 106
-1, 9, 153
1, 96, 71
